title,content
Heathrow airport records busiest day,"Heathrow has experienced its busiest ever day for passengers numbers.

The airport said 268,000 passengers travelled through its terminals on June 30.

It recorded a daily total in excess of 260,000 passengers five times during the month, including on consecutive days on June 23 and 24.

Across the month as a whole, the airport saw 7.4 million passengers, up 5.6% from 7.0 million during the same month last year.

Heathrow said it has more than 90,000 staff working at the airport – more than ever before – including a “baggage resilience team” and hundreds of “helpers” to assist passengers.

British Airways suffered a technical fault that disrupted its baggage system at Heathrow on June 25.

This meant many travellers on departing flights did not have their checked-in luggage put on the plane, while some of those on arriving flights faced long delays to retrieve their baggage.

Heathrow chief executive Thomas Woldbye said: “June has seen more Heathrow records shattered including serving more passengers in a single day than ever before.

“I want to thank all my colleagues who went the extra mile to make sure the 268,000 passengers travelling on the busiest day had a smooth, stress-free journey.”

He added: “We have started summer as we mean to go on.”

Meanwhile, a regulator has reduced the amount Heathrow can charge airlines for using the airport until the end of 2026.

The Civil Aviation Authority (CAA) said it has decreased the cap in fees from previously announced figures by £1.52 to £23.73 per passenger next year and by £1.57 to £23.71 per passenger in 2026.

It did this in response to a determination by competition regulator the Competition and Markets Authority that took into account appeals from the airport and airlines British Airways, Delta Air Lines and Virgin Atlantic.

The CAA said the price reductions reflect changes in Heathrow’s debt calculation, the cost of the airport’s pension payments and business rates, and its recovery of revenues lost due to the coronavirus pandemic.

Charges are paid by airlines but are generally passed on to passengers in air fares."
Aer Lingus pilots suspend industrial action with new pay deal,"Aer Lingus' pilots union called off its industrial action and recommended that members accept a pay proposal, the union said on Wednesday, ending a dispute that has led to the cancellation of hundreds of flights.

""The pilot body will move immediately to suspend ongoing work-to-rule action, in place since 26th June, pending the outcome of a ballot,"" the Irish Air Lines Pilots’ Association (IALPA) said in an emailed statement.

Under work-to-rule, a form of industrial action, employees perform their duties strictly to the letter of the labour contract without taking on any additional duties.

Pilots began the industrial action on June 26, demanding a 24% pay increase to compensate for several years of inflation and cuts during the COVID-19 pandemic.

Aer Lingus, part of the IAG group of airlines, on Monday said it would accept the Labour Court recommendation, which includes a pilot pay increase of 17.75% for the four years to the end of 2026.

“Aer Lingus welcomes Forsa’s/IALPA’s recommendation of acceptance of the Labour Court recommendation and its decision to discontinue the industrial action,"" the airline said in a statement.

(Reporting by Gnaneshwar Rajan in Bengaluru Editing by Leslie Adler)"
Pilots’ union recommends Aer Lingus pay deal,"Aer Lingus pilots will be asked to accept a 17.75% pay increase in a ballot, following a recommendation by their representative body.

It comes after a work-to-rule, which began at the end of June, resulted in the airline cancelling hundreds of flights.

The 17.75% figure was recommended by the Labour Court following engagement with Aer Lingus and the Irish Air Line Pilots’ Association (Ialpa).

Ialpa leadership sought clarifications from the Labour Court over the non-binding recommendation and, following consideration of the terms, recommended that its membership accept them.

The pilot body will move immediately to suspend its ongoing work-to-rule action, in place since June 26, pending the outcome of a ballot.

The union will hold a series of engagements with members before a ballot on the terms of the Labour Court recommendation in the coming week.

Ialpa president Mark Tighe described the pay increase provided for in the recommendation as a significant win for pilots.

Taoiseach Simon Harris has welcomed the developments.

In a statement, he said: “I welcome the decision by Ialpa to suspend industrial action and recommend acceptance of the Labour Court proposal.

“This is a very positive development for the travelling public and our tourism sector.

“I have consistently stated that compromise and engagement was the only way forward.”

Aer Lingus planes at Dublin Airport
Aer Lingus planes at Dublin Airport as more flights were cancelled (Artur Widak/PA)
Aer Lingus welcomed Ialpa’s recommendation to its members to accept the deal, as well as the decision to discontinue industrial action.

It said: “We look forward to Ialpa completing the balloting process as soon as possible.”

Earlier, Aer Lingus cancelled 25 more flights next Monday and Tuesday and said it would contact affected customers.

It also said more cancellations would be announced on Thursday.

Hundreds of flights have been cancelled in the two weeks since the industrial action began, which has affected thousands of holidaymakers’ plans.

Aer Lingus said those affected by flight cancellations will be given the option to change their flights for free or to claim a refund or voucher.

Customers can check the flights affected on the Aer Lingus Travel Advisory page.

The airline said the industrial relations dispute had been “enormously damaging both financially and reputationally”.

The pilots had initially sought a pay increase of 24%, which they said equated to inflation since the last pay rise in 2019.

They had previously rejected a Labour Court recommendation for pay increases of 9%, but Ialpa had suggested the union would consider a pay increase below the 24% figure."
Aer Lingus pilots to vote on pay proposal to end strike,"Aer Lingus' pilots union executive is to meet on Tuesday to consider a pay proposal to end industrial action that has led to the cancellation of hundreds of flights, the Irish Air Lines Pilots’ Association (IALPA) said.

The union then plans to hold an electronic ballot of members on the Labour Court proposal, it said in a statement.

Pilots began work-to-rule industrial action on June 26, demanding a 24% pay increase to compensate for several years of inflation and cuts during the COVID-19 pandemic.

Aer Lingus, part of the IAG group of airlines, on Monday said it would accept the Labour Court recommendation, which includes a pilot pay increase of 17.75% for the four years to the end of 2026.

It had earlier said it would only go beyond a 12.25% increase if pilots agreed to changes in work practices."
British Airways risks compensation bill for delayed passengers in £100m legal case,"Millions of passengers could be compensated for late flights if a landmark legal case against British Airways and easyJet proves successful.

British Airways and easyJet are battling to throw out the case, which risks forcing airlines to pay out hundreds of millions of pounds to passengers over late flights.

The two carriers have been sued in the High Court over claims they must automatically compensate travellers whose flights are severely delayed or cancelled.

This could potentially lead to a massive overhaul in how passengers are reimbursed for travel chaos, as they will no longer have to submit claims themselves if their trip is disrupted.

Lawyers have identified up to 100,000 flights that were either delayed or cancelled since 2016, potentially landing BA and easyJet with a damages bill of at least £100m.

If successful, the case could also pave the way for vast payouts across the industry, raising the stakes for airlines worst hit by delays and cancellations.


Passengers are entitled to compensation of up to £520 if their flights are delayed by more than three hours but it is then down to them to contact the airlines themselves to make a claim.

This has raised concerns that many travellers are unaware of their rights, with few taking up the opportunity to seek compensation.

BA and easyJet will seek to fight off the case in a two-day court hearing this week. The airlines have argued that the lawsuit is “misconceived” and part of an attempt by lawyers to profit from passengers.

It is expected to reignite discussions over chronic travel disruption, which has been a significant issue ever since the pandemic as staff shortages and air traffic control chaos triggered delays and cancellations.

It comes as families prepare to jet off on their summer holidays, with new figures showing that BA has cancelled more than 4,000 flights from UK airports over the past year – more than double the number of cancellations by easyJet.

After the claim was first launched last year, director of policy and advocacy at consumer group Which? Rocio Concha said: “While airlines already have a legal responsibility to inform passengers of their rights to compensation and assistance when things go wrong, too often we hear that this is not taking place.

“That this case needs to be brought at all once again exposes the UK’s feeble passenger rights protections.”


BA chief Sean Doyle, who took over in late 2020, has been attempting to overhaul the company.

BA faced fresh scrutiny last month after it was struck by a technical fault across its baggage systems, meaning some passengers were forced to fly without their suitcases while others were delayed for hours.

Both BA and easyJet have instructed City law firms to fight the brewing class action, which is being brought by an individual backed by litigation funders.

An easyJet spokesman said: “Not only do we believe this has no legal or procedural basis, this action is being brought in order to profit by taking a cut from every claim when there are already existing and easy routes for eligible customers to receive 100pc of their compensation.”

A BA spokesman said: “We comply with our obligations under the Regulation. We don’t believe this claim has a proper legal basis – it’s misconceived and therefore along with easyJet we’ve applied to strike it out.

“In any event, we will continue to strongly defend our position. Customers can submit compensation requests directly to us online or by writing to our customer relations team to receive full payment for eligible claims.”"
"Flights to cost more because of net zero, warns British Airways owner","The boss of British Airways owner IAG has warned that air fares are poised to rise across Europe as carriers pass on the cost of net zero to passengers.

Plans to offer low-carbon flights reliant upon sustainable aviation fuel (SAF), which costs up to six times as much as traditional kerosene, will have a “big impact” on prices, said Luis Gallego.

He said: “Flying is going to be more expensive. We are trying to improve efficiency to mitigate that, but it will have an impact on demand.”

Targets set by Brussels indicate that European airlines must use at least 6pc sustainable fuel by 2030, with this rising to 10pc for carriers operating in the UK.

This is part of a push to achieve net zero carbon emissions across the industry by 2050.

Mr Gallego’s comments come after British Airways rival Lufthansa last month announced a surcharge on tickets to fund decarbonisation.

The German airline said the levy will add between €1 and €72 (85p-£61) per ticket from next year.

Shai Weiss, Virgin Atlantic chief executive
Shai Weiss, Virgin Atlantic chief executive, says introduction of sustainable aviation fuel could increase cost of a return trip to New York by £40 - Luke MacGregor/Bloomberg
Shai Weiss, the Virgin Atlantic chief executive, told The Telegraph in May that the introduction of SAF will mean the cost of a return trip to New York will rise by £40 based on current prices.

Mr Gallego said that the mandatory targets in Europe risk putting carriers in the region at a competitive disadvantage compared with those in other parts of the world.

He told the Financial Times: “We need to do it in a consistent way worldwide not to jeopardise European aviation. The reality is we do not have enough SAF, and the SAF we have is very expensive.”

Less than 1pc of total aviation fuel consumption came from sustainable sources last year, prompting airlines such as British Airways to demand government intervention to help increase the supply of SAF.

The fuel, made from used cooking oil and animal fat, is viewed as the most practical route towards reducing aviation’s net CO2 emission before new technologies, such as hydrogen propulsion, become available in the future.

IAG said decisions on pricing are a matter for its individual airlines, which also include Spain’s Iberia and Aer Lingus of Ireland, but that there are no immediate plans to impose decarbonisation-related surcharges.

Mr Gallego said a decision by Brussels on Wednesday to clear Lufthansa’s purchase of a 41pc stake in ITA, the Italian flag carrier and successor to bankrupt Alitalia, was “positive news”.

IAG shares rose following the announcement amid hopes Brussels will soon also clear its own bid for Spanish leisures carrier Air Europa."
Labour Court considers recommendations in Aer Lingus pilots dispute,"The Labour Court is considering recommendations in the dispute between Aer Lingus management and its pilots, as the airline announced further flight cancellations.

The recommendations from the industrial disputes body is expected to take several days.

Aer Lingus has said a further 76 additional flights will be cancelled between next Monday and Wednesday as the pay dispute between the airline and the pilots rumbles on.

The airline has been cancelling flights in batches during the pilots’ indefinite work-to-rule, which began last Wednesday, in an effort to protect services from the “highly disruptive” industrial action.

Donal Moriarty, the chief corporate affairs officer at Aer Lingus, thanked the court for conducting “a comprehensive” hearing, and said it was “an important step” in the dispute.

“The court is now considering what the parties had to say and will make its recommendation in due course, and Aer Lingus will await that recommendation.”

He said he wouldn’t discuss what was said in the hearing out of respect for the court.

“Aer Lingus is hopeful that the intervention of the court will be helpful in ultimately getting a resolution to this dispute.

“So we would remain hopeful that that can happen and certainly today was an important step in that regard.”

Aer Lingus industrial action
An empty Aer Lingus check-in desk area at Dublin Airport as Aer Lingus pilots began an eight-hour strike (Evan Treacy/PA)
Captain Mark Tighe, president of the Irish Air Line Pilots’ Association (Ialpa), said he remained hopeful of a resolution and would be balloting their members on the recommendations.

Ialpa members rejected a previous interim Labour Court recommendation for pay increases of 9.25% last month.

“Corporate greed cannot be allowed to go on like this,” Mr Tighe said.

He said there would be no escalation of industrial action while the Labour Court considers its recommendations, but said earlier in the week if these rounds of talks fail, it will consider an escalation.

The talks at the industrial dispute body are the latest attempt to bring the two sides together to hammer out a resolution.

After facilitating eight hours of discussions on Monday, the Labour Court decided to host a formal meeting on Wednesday, after which it will issue recommendations.

Irish Air Line Pilots’ Association president Captain Mark Tighe
Ialpa president Captain Mark Tighe said the union had asked the Labour Court to consider how a reasonable claim protects workers from inflation (Gareth Chaney/PA)
Ahead of both sides meeting at the building on Lansdowne Road on Wednesday, Aer Lingus announced further flight cancellations to limit the impact of the industrial action on people’s travel plans.

It said it would contact affected customers from today to offer a flight change free of charge, a refund or a voucher.

A list of the impacted flights can bee seen on the Travel Advisory page on the Aer Lingus website.

“Aer Lingus fully understands the anxiety being experienced by customers given the uncertainty caused by Ialpa’s industrial action and is giving impacted customers as many options as possible,” it said in a statement.

The pilots had been seeking a pay increase of 24%, which they say equates to inflation since the last pay rise in 2019.

However, Ialpa said last week that it would be willing to consider a lower pay increase.

Aer Lingus industrial action
Aer Lingus pilots march around Dublin Airport (Evan Treacy/PA)
But it accused Aer Lingus of not making a similar compromise to move from its offer of 12.25%, without requests for pilots to improve productivity.

On his way into the Labour Court, Mr Tighe said that Ireland is “a small but very successful open economy”.

“While attracting business, it must be acknowledged that business owners who do not protect their employees from inflation in a successful environment are ultimately and in time going to impoverish their employees.

“That will happen from the lowest employees as they slide off the bottom one by one.

“We asked the Labour Court to consider as we go forward, the profitable nature of the company and how a reasonable claim is to protect us all from inflation.”

Mr Moriarty, the chief corporate affairs officer at Aer Lingus, apologised to customers for the 470 flight cancellations to date.

Finance Minister Jack Chambers said the industrial dispute has been ‘incredibly damaging’ for the Irish economy (Cate McCurry/PA)
Finance Minister Jack Chambers said the industrial dispute has been ‘incredibly damaging’ for the Irish economy (Cate McCurry/PA)
“We are trying to communicate as effectively as possible with our customers, giving them the options to rebook, to refund or to rearrange their travel.

“But we do appreciate that this is very disruptive upon them and that’s uppermost in our mind.

“We’d like to go through the process of seeing what the court recommend and address the consequences of that afterwards rather than now.”

He added: “The reason for the cancellations is to build resilience into our schedule, to limit the number of cancellations actually, because without that resilience and that buffer within our operation, there would be more cancellations.

“The nature of the work to rule is cumulative. As rosters age they deteriorate and an unwillingness to accept changes to rosters on a daily basis means that the roster deteriorates over time and that’s what causes the impact in terms of cancellations.”

Finance Minister Jack Chambers said the industrial dispute has been “incredibly damaging” for the Irish economy.

“I think it has caused enormous disruption to many tourists but also Irish people who were looking forward to that holiday abroad,” he said.

“I think the dispute, up to this point, has been far too entrenched between both sides. I welcome the fact that they’re in a process now in the Labour Court, and hopefully we will get a successful resolution of it.

“But I’d say there’s ongoing concern that, if this persists, it’s going to cause continued damage from a tourism and economic perspective.”"
Aer Lingus forced to cancel 76 additional flights as pay row rumbles on,"Aer Lingus has said it will cancel 76 additional flights between next Monday and Wednesday as the pay dispute between the airline and the union representing its pilots rumbles on.

It comes as Aer Lingus and the Irish Air Line Pilots’ Association (Ialpa) are meeting at the Labour Court on Wednesday afternoon.

The talks at the industrial dispute body are the latest attempt to bring the two sides together to hammer out a resolution.

Aer Lingus said the latest round of flight cancellations is being made “in order to protect as many services as possible from the continuing and highly disruptive impact of Ialpa’s continuing industrial action”.

The airline said customers will be given the option of changing their flight free of charge, or claiming a refund or a voucher.

A spokesman said: “Aer Lingus has had to take the step of cancelling 76 additional flights over the course of Monday 8th July to Wednesday 10th July (inclusive).

“Implementing these cancellations is to enable us to protect as many services as possible for as many of our customers as possible.

“These cancellations will be implemented today, and details will be communicated to impacted customers. Details of the services impacted are set out on the Travel Advisory page of aerlingus.com.

“Customers impacted by these latest cancellations between 8th July and 10th July will be given the option to change their flights for free. They will also be able to claim a refund or voucher.

Irish Air Line Pilots’ Association president Captain Mark Tighe
Ialpa president Captain Mark Tighe said the union had asked the Labour Court to consider how a reasonable claim protects workers from inflation (Gareth Chaney/PA)
“These options will be communicated directly to impacted customers as well as travel agents, while the Aer Lingus Travel Advisory page will also have up-to-the minute information on all the options.

“Aer Lingus fully understands the anxiety being experienced by customers given the uncertainty caused by Ialpa’s industrial action and is giving impacted customers as many options as possible.”

After facilitating eight hours of discussions on Monday, the Labour Court decided to use its authority to have a formal meeting on Wednesday, after which it will issue a recommendation.

The meeting got under way on Wednesday afternoon.

Ialpa president Captain Mark Tighe said: “Going in here today to the Labour Court, that Ireland is a small but very successful open economy and while attracting business, it must be acknowledged that business owners who do not protect their employees from inflation in a successful environment are ultimately and in time going to impoverish their employees.

“That will happen from the lowest employees as they slide off the bottom one by one.

Aer Lingus industrial action
Aer Lingus pilots march around Dublin Airport (Evan Treacy/PA)
“We asked the Labour Court to consider as we go forward, the profitable nature of the company and how a reasonable claim is to protect us all from inflation.”

Going into the talks, Mr Tighe said he is “always hopeful” the matter will be resolved.

He also said that if there is a recommendation arising from the court, the industrial action will still continue.

“The executive in the first instance will consider it and then the members will consider it thereafter,” he added.

Donal Moriarty, the chief corporate affairs officer at Aer Lingus, apologised to customers for the 470 flight cancellations.

“We are trying to communicate as effectively as possible with our customers, giving them the options to rebook, to refund or to rearrange their travel.

Finance Minister Jack Chambers said the industrial dispute has been ‘incredibly damaging’ for the Irish economy (Cate McCurry/PA)
Finance Minister Jack Chambers said the industrial dispute has been ‘incredibly damaging’ for the Irish economy (Cate McCurry/PA)
“But we do appreciate that this is very disruptive upon them and that’s uppermost in our mind.

“We’d like to go through the process of seeing what the court recommend and address the consequences of that afterwards rather than now.”

He added: “The reason for the cancellations is to build resilience into our schedule, to limit the number of cancellations actually, because without that resilience and that buffer within our operation, there would be more cancellations.

“The nature of the work to rule is cumulative. As rosters age they deteriorate and an unwillingness to accept changes to rosters on a daily basis means that the roster deteriorates over time and that’s what causes the impact in terms of cancellations.”

The meeting is being held a week after Ialpa began an indefinite work-to-rule, resulting in them withdrawing from out-of-hours services.

An eight-hour strike was also held on Saturday, during which hundreds of pilots marched around the airport, holding signs that read “Two years talking, deal now” and “No pilots, no profits”.

Aer Lingus industrial action
An empty Aer Lingus check-in desk area at Dublin Airport as Aer Lingus pilots began an eight-hour strike (Evan Treacy/PA)
The industrial action has resulted in almost 400 flights being cancelled and affected the travel plans tens of thousands of passengers.

The airline admitted the dispute has caused “significant financial and reputational damage”.

Finance Minister Jack Chambers said the industrial dispute has been “incredibly damaging” for the Irish economy.

“I think it has caused enormous disruption to many tourists but also Irish people who were looking forward to that holiday abroad,” he added.

“I think the dispute, up to this point, has been far too entrenched between both sides. I welcome the fact that they’re in a process now in the Labour Court, and hopefully we will get a successful resolution of it.

“But I’d say there’s ongoing concern that, if this persists, it’s going to cause continued damage from a tourism and economic perspective.

“I’d urge both sides to try and resolve their differences through the industrial relations process today.”

The pilots had been seeking a pay increase of 24%, which they say equates to inflation since the last pay rise in 2019.

However, Ialpa said during a meeting with the airline at a hotel last week that it would be willing to consider a lower increase.

But it accused Aer Lingus of not making a similar compromise to move from its offer of 12.25%, without requests for pilots to improve productivity.

If these rounds of talks fail, Ialpa said it will return to consider an escalation of its industrial action.

An interim Labour Court recommendation for pay increases of 9.25% was rejected by Ialpa members last month, and they then decided to pursue industrial action."
Gatwick’s runway closed after British Airways plane has ‘hot brakes’,"Thousands of airline passengers on flights to and from Gatwick airport are suffering disruption after the runway was closed following a problem with a departing British Airways plane.

Airport fire service vehicles escorted the aircraft as it was moved off the runway, flight tracking website Flightradar24 said.

The incident involved British Airways flight BA2279 to Vancouver, Canada.

Flightradar24 reported the closure of the runway at 12.53pm and stated at 1.14pm it had reopened.

A Gatwick airport spokesperson said: “The main runway was closed for a short time today due to a departing aircraft having hot brakes.

“Safety is our top priority and the dedicated airport fire service swiftly attended to support the aircraft.

“A number of flights were diverted. The runway is now open and operating as normal.”

A British Airways spokesperson said: “Our pilots took the precautionary decision to cancel take-off due to a technical issue.

“Safety is always our top priority and we apologise to customers for the inconvenience caused.”"
Aer Lingus set for fresh talks with pilots in bid to resolve pay dispute,"Fresh talks between Aer Lingus and its pilots will convene on Thursday amid efforts to find a resolution to a bitter industrial dispute that has seen 270 flights already cancelled.

The indefinite work-to-rule commenced on Wednesday with pilots now refusing to work overtime, accept changes to set rosters, or take on out-of-hours management requests.

An eight-hour strike is also planned for Saturday.

A resolution to the stand-off looked a long way away after the Irish Labour Court told both sides on Tuesday it will not be intervening at the present time.

AerLingus strikes
The Aer Lingus check-in desks at Terminal 2 of Dublin Airport (Grainne Ni Aodha/PA)
But on Wednesday afternoon, the Irish Air Line Pilots’ Association (Ialpa) said it had accepted an invitation to talks with Aer Lingus as the work-to-rule continues.

The airline and Ialpa, a branch of the Forsa trade union, have been involved in a heated exchange of words in recent days, with each accusing the other of not engaging.

The pilots are seeking a pay increase of 24%, which they say equates to inflation since the last pay rise in 2019.

Aer Lingus has said it is willing to offer pay increases of 12.5% or above if “improvements in productivity and flexibility” are discussed.

They are expected to meet at 9.30am on Thursday.

The travel plans of tens of thousands of passengers have been affected, with the airline having been working to offer refunds or alternative flights to people whose trips have been axed.

Taoiseach Simon Harris has welcomed news of fresh talks.

A spokesperson for Mr Harris said: “The Taoiseach has been clear this dispute is having a disproportionate impact on the travelling public.

“All disputes are resolved by compromise and negotiation. The Taoiseach urges both sides to engage in good faith to resolve this dispute.”

With passengers told of cancellations days in advance, there were not many visible signs of disruption at Dublin Airport as the action began on Wednesday.

Passengers who arrived hoped their flight would not be cancelled at the last minute, and described their nerves over recent days.

At Terminal 2 of Dublin Airport on Wednesday morning, those passengers whose flights were not cancelled were in good spirits.

EU Commissioner nomination
Taoiseach Simon Harris urged both sides to engage in good faith (Gareth Chaney/PA)
Audrey from Galway, who was headed to Bilbao with her family, said she had received an email on Saturday to say their flight was going ahead, which reassured them.

“But, between last Wednesday and Saturday, it was very upsetting, wondering whether we’d be able to go,” she said.

“It’s our one family holiday of the year and obviously we wanted it to go ahead because otherwise there would be a lot of consternation in the house. So we’re happy ours is going ahead, and feel sorry for anyone else who isn’t able to go today.”

She said they were flying back with Aer Lingus, and had an extra few days off before they returned to work.

“We’re just willing to wing it and see how we go. We had checked alternative flights and even ferries if this hadn’t gone ahead, just in case. But once we’re there, we’ll be happy,” she said.

“The thought of not getting there is the issue, but once you’re there you’re relaxed.”

Asked about whether she supported the industrial action, she said it seemed to her that there was a good offer on the table.

“I suppose I’m probably not as incredibly angry as someone whose flight has been cancelled, but I think it is difficult to sympathise with the pilots to be honest with you, because they are well paid to begin with,” she said.

Diarmuid, who is from Dublin and travelling to France, said the pilots “had to do it at some stage”.

“I can see the justification for it. If it’s an all-out strike then we’re in awful trouble, but this work-to-rule has allowed a certain amount of flow of passengers. I’d love more transparency from the company about profit levels,” he said.

Catherine, who is from Dublin but lives in Minnesota, in the US, said her flight was not affected, but that she had been “anxious” coming up to the flight.

“I think it’s rotten because it affects so many families going on holidays, but they do it because that’s the height of negotiations. I really feel for families,” she said.

“If you are making record profits, you should give back to the people who took a nosedive during Covid, but you also can’t be greedy.”

Parents travelling abroad with their children spoke of their concerns about whether they would have to break bad news to their children excited about their holidays.

Passengers appeared happy once their flight to their destination continued, and willing to extend their stay if needed.

A woman who is flying to the US said she had been anxious in the run-up to Wednesday and had had a “wait-and-see approach”.

Asked if she was flying back with Aer Lingus, she said “hopefully”.

“I didn’t think they would resolve it, because I can’t see them getting what they want, truthfully. I feel sorry for the cabin crew and the ground crew,” she said.

Both sides in the dispute agreed to attend separate meetings at the Labour Court in Dublin on Tuesday to provide briefings on the industrial stand-off.

After its meeting, Aer Lingus said it was “disappointed” the court had assessed that it could not currently assist to bridge the gap between the sides.

Ialpa president Mark Tighe made clear the action would proceed “until there is a resolution”.

“Pilots in the union do not want to be in this situation,” Mr Tighe told RTE Radio on Wednesday.

“This is the middle of the summer, any day (of industrial action) is going to have a significant impact.

“What you see here is the direct result of management actions and their refusal to acknowledge that they should have been dealing with inflation as they went along.”

During leaders’ questions in the Dail on Wednesday, Sinn Fein’s Louise O’Reilly accused the Government of a “hands off” approach and said people were looking for leadership and “a high level intervention”.

Social Protection Minister Heather Humphreys said she fully understands “how frustrating and upsetting” it is for people whose travel plans have been affected.

The Labour Court remains available to the parties, she said, and the situation will be reviewed comprehensively on July 1. In the meantime, both sides have been urged not to escalate the dispute further.

Ms Humphreys said “intensive efforts must be made by both parties” and said they must “get back to the table”.

“I think what we need here is we need cool heads, we need to leave the egos at the door, and get back into that negotiating room – I’m saying that to both parties,” Ms Humphreys told the chamber.

“If everyone sticks to their own position, we’re never going to find a solution.

“I’m saying to them: start talking, this will be resolved. There has to be compromise, they have to talk.”

“Get back to the table, resolve this issue, there’s a solution, there’s always a solution,” she said."
